1;1;2;-1;-1
2;3;4;-1;-1
3;5;6;-1;-1
4;7;8;-1;-1
5;9;10;-1;-1
6;11;12;-1;-1
7;13;14;-1;-1
8;15;16;-1;-1
9;17;18;-1;-1
10;19;20;-1;-1
11;21;22;-1;-1
12;23;24;-1;-1
13;25;26;-1;-1
14;27;28;-1;-1
15;29;30;-1;-1
16;31;32;-1;-1
17;1;3;-1;-1
18;2;4;-1;-1
19;5;7;-1;-1
20;6;8;-1;-1
21;9;11;-1;-1
22;10;12;-1;-1
23;13;15;-1;-1
24;14;16;-1;-1
25;17;19;-1;-1
26;18;20;-1;-1
27;21;23;-1;-1
28;22;24;-1;-1
29;25;27;-1;-1
30;26;28;-1;-1
31;29;31;-1;-1
32;30;32;-1;-1
33;1;4;-1;-1
34;2;3;-1;-1
35;5;8;-1;-1
36;6;7;-1;-1
37;9;12;-1;-1
38;10;11;-1;-1
39;13;16;-1;-1
40;14;15;-1;-1
41;17;20;-1;-1
42;18;19;-1;-1
43;21;24;-1;-1
44;22;23;-1;-1
45;25;28;-1;-1
46;26;27;-1;-1
47;29;32;-1;-1
48;30;31;-1;-1
