1;1;2;1;0
2;3;4;1;0
3;5;6;0;0
4;7;8;2;0
5;9;10;1;0
6;11;12;1;0
7;13;14;1;0
8;15;16;1;0
9;17;18;1;0
10;19;20;1;0
11;21;22;1;0
12;23;24;1;0
13;25;26;1;0
14;27;28;1;0
15;29;30;1;0
16;31;32;1;0
17;1;3;1;0
18;2;4;1;0
19;5;7;1;0
20;6;8;1;0
21;9;11;1;0
22;10;12;1;0
23;13;15;1;0
24;14;16;1;0
25;17;19;1;0
26;18;20;1;0
27;21;23;1;0
28;22;24;1;0
29;25;27;1;0
30;26;28;1;0
31;29;31;1;0
32;30;32;1;0
33;1;4;1;0
34;2;3;1;0
35;5;8;1;0
36;6;7;1;0
37;9;12;1;0
38;10;11;1;0
39;13;16;1;0
40;14;15;1;0
41;17;20;1;0
42;18;19;1;0
43;21;24;1;0
44;22;23;1;0
45;25;28;1;0
46;26;27;1;0
47;29;32;1;0
48;30;31;1;0
