1;1;2;2;4
2;1;3;-1;-1
3;1;4;-1;-1
4;2;3;-1;-1
5;2;4;-1;-1
6;3;4;1;1
7;5;6;-1;-1
8;5;7;-1;-1
9;5;8;-1;-1
10;6;7;-1;-1
11;6;8;-1;-1
12;7;8;-1;-1
13;9;10;-1;-1
14;9;11;-1;-1
15;9;12;-1;-1
16;10;11;1;0
17;10;12;-1;-1
18;11;12;-1;-1
19;13;14;-1;-1
20;13;15;-1;-1
21;13;16;-1;-1
22;14;15;-1;-1
23;14;16;-1;-1
24;15;16;-1;-1
25;17;18;-1;-1
26;17;19;-1;-1
27;17;20;-1;-1
28;18;19;-1;-1
29;18;20;-1;-1
30;19;20;-1;-1
31;21;22;-1;-1
32;21;23;-1;-1
33;21;24;-1;-1
34;22;23;-1;-1
35;22;24;-1;-1
36;23;24;-1;-1
37;25;26;-1;-1
38;25;27;-1;-1
39;25;28;-1;-1
40;26;27;-1;-1
41;26;28;-1;-1
42;27;28;-1;-1
43;29;30;-1;-1
44;29;31;-1;-1
45;29;32;-1;-1
46;30;31;-1;-1
47;30;32;-1;-1
48;31;32;-1;-1
